City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
167,Sorong,ID,79.14,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
168,Safford,US,86.11,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
169,The Hammocks,US,82.02,broken clouds,25.6715,-80.4445,Cozy Home Recovery
170,Kerrville,US,85.95,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
171,Santa Cruz,BO,87.26,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
172,San Juan Del Sur,NI,87.15,overcast clouds,11.2529,-85.8705,Nuestra Casa
173,Dubti,ET,86.18,clear sky,11.7361,41.0853,degu Shiferaw
175,Vallenar,CL,76.82,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
176,Luanda,AO,78.55,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
177,Laguna,US,77.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
178,Koungou,YT,78.51,light rain,-12.7336,45.2042,Villa Netibor
179,Ovalle,CL,75.79,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
180,Humaita,BR,77.04,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
181,Alta Floresta,BR,77.97,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
182,Soyo,AO,78.84,overcast clouds,-6.1349,12.3689,Hotel Mpampa
183,Shwebo,MM,81.95,broken clouds,22.5667,95.7,MOON SHINE Guest House
184,Abadiania,BR,77.92,scattered clouds,-16.2042,-48.7069,Pousada Lírio D'Água
185,Anloga,GH,81.81,moderate rain,5.7947,0.8973,Pin Drop Hotel
186,Pasni,PK,82.99,overcast clouds,25.2631,63.471,Kashmiri Hotal
188,Guaymas,MX,87.89,clear sky,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
189,Houston,US,87.19,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
190,Sola,VU,84.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
191,El Jicaro,GT,80.13,overcast clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
192,Mayumba,GA,76.35,broken clouds,-3.432,10.6554,LIKWALE LODGE
194,Urbano Santos,BR,75.74,moderate rain,-3.2078,-43.4036,Pousada Santa Dulce
195,Galveston,US,85.08,clear sky,29.3669,-94.9669,Crystal Suites
196,Morgan City,US,75.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
