City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
374,Samarai,PG,82.96,few clouds,-10.6167,150.6667,Nuli Sapi
375,Aitape,PG,77.88,overcast clouds,-3.1374,142.3475,
378,Muisne,EC,80.28,overcast clouds,0.6,-80.0333,Quinta Samay
380,Ahualulco,MX,76.82,broken clouds,22.4,-101.1667,Hotel Aurelieus
382,Bubaque,GW,76.6,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
383,North Platte,US,82.29,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
384,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
385,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
390,Hobyo,SO,81.95,few clouds,5.3505,48.5268,Iftin hotel hobyo
392,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
393,Parvatsar,IN,81.01,clear sky,26.8833,74.7667,Shree Hotel
395,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
396,Quatre Cocos,MU,77.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
397,Atar,MR,80.31,clear sky,20.5169,-13.0499,Oumou Elghoura
403,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
404,Berbera,SO,80.38,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
420,Itarema,BR,78.01,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
421,Sao Jose Da Coroa Grande,BR,79.59,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
422,Kopaganj,IN,79.88,clear sky,26.0233,83.5658,अब्दुर्रहमान मंज़िल
424,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
429,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
432,Manokwari,ID,78.21,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
434,Diourbel,SN,80.38,clear sky,14.6628,-16.3925,ISFAR maison Blanche
437,Grand Gaube,MU,77.4,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
441,Mogadishu,SO,81.43,broken clouds,2.0371,45.3438,Hotel Juba
444,Brazzaville,CG,77.25,light rain,-4.2658,15.2832,Hotel Muesse
446,Moindou,NC,77.9,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
447,Karachi,PK,78.62,overcast clouds,24.9056,67.0822,Sadaat
450,Luganville,VU,82.27,broken clouds,-15.5333,167.1667,The Espiritu Hotel
457,Joao Pinheiro,BR,78.58,overcast clouds,-17.7425,-46.1725,Hotel Santos
458,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
462,Bonfim,BR,83.75,broken clouds,3.0833,-59.95,
465,Houma,US,75.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
467,Resistencia,AR,79.09,broken clouds,-27.4606,-58.9839,Niyat Urban Hotel
469,Mayahi,NE,87.21,scattered clouds,13.9553,7.6712,
472,Gwadar,PK,81.0,overcast clouds,25.1216,62.3254,Sadaf Resort
473,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
474,Ko Samui,TH,82.06,clear sky,9.5357,99.9357,The Passage
476,Noumea,NC,80.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
484,Crixas,BR,80.02,scattered clouds,-14.5489,-49.9692,RISO HOTEL
485,Yaan,NG,79.07,moderate rain,7.3833,8.5667,
486,Tigre,AR,76.05,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
488,Guerrero Negro,MX,84.87,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
489,Sawakin,SD,80.49,clear sky,19.1059,37.3321,فندق الدويم
490,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
492,Galle,LK,78.93,overcast clouds,6.0367,80.217,Amangalla
493,Davila,PH,76.98,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
